year	location_1	location_2	parasite_flow
2012	Amnat Charoen	Amnat Charoen	0.818389726800338
2012	Ang Thong	Amnat Charoen	4.97917487861527e-06
2012	Bangkok	Amnat Charoen	3.08780279172152e-05
2012	Bueng Kan	Amnat Charoen	0
2012	Buri Ram	Amnat Charoen	0.000997628346112538
2012	Chachoengsao	Amnat Charoen	5.89903284033562e-05
2012	Chai Nat	Amnat Charoen	0
2012	Chaiyaphum	Amnat Charoen	0
2012	Chanthaburi	Amnat Charoen	7.21669535218257e-05
2012	Chiang Mai	Amnat Charoen	4.9989224187343e-05
2012	Chiang Rai	Amnat Charoen	1.02858143910179e-05
2012	Chon Buri	Amnat Charoen	0.000184450828123552
2012	Chumphon	Amnat Charoen	1.71462265349347e-05
2012	Kalasin	Amnat Charoen	0.00105884273162525
2012	Kamphaeng Phet	Amnat Charoen	6.46762653807446e-07
2012	Kanchanaburi	Amnat Charoen	0.000132970215599133
2012	Khon Kaen	Amnat Charoen	0.000354047678209213
2012	Krabi	Amnat Charoen	5.89982458372119e-06
2012	Lampang	Amnat Charoen	1.01904725526782e-05
2012	Lamphun	Amnat Charoen	1.39713186058875e-05
2012	Loei	Amnat Charoen	9.56199052610906e-05
2012	Lop Buri	Amnat Charoen	5.5196955667459e-05
2012	Mae Hong Son	Amnat Charoen	9.08668352735022e-06
2012	Maha Sarakham	Amnat Charoen	0.000661570584999339
2012	Mukdahan	Amnat Charoen	0.00766043924730257
2012	Nakhon Nayok	Amnat Charoen	1.5738657788574e-05
2012	Nakhon Pathom	Amnat Charoen	4.57942980253292e-05
2012	Nakhon Phanom	Amnat Charoen	0.00127353719770527
2012	Nakhon Ratchasima	Amnat Charoen	0.00142961011535487
2012	Nakhon Sawan	Amnat Charoen	1.63361037609377e-05
2012	Nakhon Si Thammarat	Amnat Charoen	2.75937439551623e-06
2012	Nan	Amnat Charoen	0
2012	Narathiwat	Amnat Charoen	1.28917380640881e-06
2012	Nong Bua Lam Phu	Amnat Charoen	0.00018752997666681
2012	Nong Khai	Amnat Charoen	0
2012	Nonthaburi	Amnat Charoen	2.06855958072132e-05
2012	Pathum Thani	Amnat Charoen	0.000136270840856391
2012	Pattani	Amnat Charoen	2.93801141044506e-06
2012	Phangnga	Amnat Charoen	1.25295645383185e-06
2012	Phatthalung	Amnat Charoen	0
2012	Phayao	Amnat Charoen	5.45578418913286e-06
2012	Phetchabun	Amnat Charoen	9.68787590231448e-05
2012	Phetchaburi	Amnat Charoen	5.20054230456717e-05
2012	Phichit	Amnat Charoen	5.11267235894263e-06
2012	Phitsanulok	Amnat Charoen	2.01311846706979e-05
2012	Phra Nakhon Si Ayutthaya	Amnat Charoen	3.28606080419665e-05
2012	Phrae	Amnat Charoen	9.55865431114659e-06
2012	Phuket	Amnat Charoen	3.35711885077661e-06
2012	Prachin Buri	Amnat Charoen	0
2012	Prachuap Khiri Khan	Amnat Charoen	4.19581778876628e-05
2012	Ranong	Amnat Charoen	1.01242516566408e-06
2012	Ratchaburi	Amnat Charoen	3.92854458741889e-05
2012	Rayong	Amnat Charoen	8.36457892081393e-05
2012	Roi Et	Amnat Charoen	0.00339902375123278
2012	Sa Kaeo	Amnat Charoen	0.000181978074043788
2012	Sakon Nakhon	Amnat Charoen	0.00156082219330936
2012	Samut Prakan	Amnat Charoen	4.70356001387212e-05
2012	Samut Sakhon	Amnat Charoen	3.41556135708899e-05
2012	Samut Songkhram	Amnat Charoen	2.16609914867843e-06
2012	Saraburi	Amnat Charoen	0.000154974265082135
2012	Satun	Amnat Charoen	7.37427898499802e-07
2012	Si Sa Ket	Amnat Charoen	0.00425128020371975
2012	Sing Buri	Amnat Charoen	0
2012	Songkhla	Amnat Charoen	1.58835520409552e-05
2012	Sukhothai	Amnat Charoen	3.28796738137512e-06
2012	Suphan Buri	Amnat Charoen	3.46062618728555e-06
2012	Surat Thani	Amnat Charoen	1.35557600799571e-05
2012	Surin	Amnat Charoen	0.00149259817087722
2012	Tak	Amnat Charoen	9.95712665105947e-06
2012	Trang	Amnat Charoen	1.38450351601739e-06
2012	Trat	Amnat Charoen	1.02599615184753e-05
2012	Ubon Ratchathani	Amnat Charoen	0.0418068529257053
2012	Udon Thani	Amnat Charoen	0.000504388286695137
2012	Uthai Thani	Amnat Charoen	9.04404206076039e-06
2012	Uttaradit	Amnat Charoen	9.64068590832758e-06
2012	Yala	Amnat Charoen	7.97364121275511e-06
2012	Yasothon	Amnat Charoen	0.0179825275742395
2012	Amnat Charoen	Ang Thong	2.89507418867511e-06
2012	Ang Thong	Ang Thong	0.257648728190637
2012	Bangkok	Ang Thong	9.66551217374551e-05
2012	Bueng Kan	Ang Thong	0
2012	Buri Ram	Ang Thong	0.000131364535107507
2012	Chachoengsao	Ang Thong	0.000160052967709377
2012	Chai Nat	Ang Thong	0
2012	Chaiyaphum	Ang Thong	0
2012	Chanthaburi	Ang Thong	0.000124486252882016
2012	Chiang Mai	Ang Thong	0.000189474328905681
2012	Chiang Rai	Ang Thong	9.19370047470695e-05
2012	Chon Buri	Ang Thong	0.000344812214478773
2012	Chumphon	Ang Thong	4.85725948284663e-05
2012	Kalasin	Ang Thong	3.89790777846349e-05
2012	Kamphaeng Phet	Ang Thong	2.36697467930234e-05
2012	Kanchanaburi	Ang Thong	0.00161250237684259
2012	Khon Kaen	Ang Thong	4.93493658805622e-05
2012	Krabi	Ang Thong	1.48303614802548e-05
2012	Lampang	Ang Thong	0.000175398341014691
2012	Lamphun	Ang Thong	5.83966078335542e-05
2012	Loei	Ang Thong	4.60108786269321e-05
2012	Lop Buri	Ang Thong	0.00359734040895169
2012	Mae Hong Son	Ang Thong	1.41903514333539e-05
2012	Maha Sarakham	Ang Thong	3.98095004817204e-05
2012	Mukdahan	Ang Thong	2.2233503099598e-05
2012	Nakhon Nayok	Ang Thong	0.00015823793795318
2012	Nakhon Pathom	Ang Thong	0.000194674675030742
2012	Nakhon Phanom	Ang Thong	2.74140769623578e-05
2012	Nakhon Ratchasima	Ang Thong	0.000705924817700326
2012	Nakhon Sawan	Ang Thong	0.00097726918909028
2012	Nakhon Si Thammarat	Ang Thong	1.00548399950693e-05
2012	Nan	Ang Thong	0
2012	Narathiwat	Ang Thong	8.28988183421618e-07
2012	Nong Bua Lam Phu	Ang Thong	4.01963215824186e-05
2012	Nong Khai	Ang Thong	0
2012	Nonthaburi	Ang Thong	0.000130588441189404
2012	Pathum Thani	Ang Thong	0.00124876537765871
2012	Pattani	Ang Thong	7.24214024877876e-06
2012	Phangnga	Ang Thong	4.02849518585038e-06
2012	Phatthalung	Ang Thong	4.62972982980585e-07
2012	Phayao	Ang Thong	3.67019894577432e-05
2012	Phetchabun	Ang Thong	0.000370035924072703
2012	Phetchaburi	Ang Thong	0.000282118024744258
2012	Phichit	Ang Thong	0.000129240952045818
2012	Phitsanulok	Ang Thong	0.000210848603388976
2012	Phra Nakhon Si Ayutthaya	Ang Thong	0.00256080467113624
2012	Phrae	Ang Thong	6.26951281715436e-05
2012	Phuket	Ang Thong	5.31386124386994e-06
2012	Prachin Buri	Ang Thong	0
2012	Prachuap Khiri Khan	Ang Thong	0.000215153922943051
2012	Ranong	Ang Thong	3.90616918259685e-06
2012	Ratchaburi	Ang Thong	0.000447643488255063
2012	Rayong	Ang Thong	0.000167989730277065
2012	Roi Et	Ang Thong	6.94384790185848e-05
2012	Sa Kaeo	Ang Thong	0.000189988825557729
2012	Sakon Nakhon	Ang Thong	5.78868262767059e-05
2012	Samut Prakan	Ang Thong	0.000158379068290352
2012	Samut Sakhon	Ang Thong	0.000125644233770811
2012	Samut Songkhram	Ang Thong	2.69291061163732e-05
2012	Saraburi	Ang Thong	0.000995678321323732
2012	Satun	Ang Thong	8.69356420415705e-07
2012	Si Sa Ket	Ang Thong	7.86095806154464e-05
2012	Sing Buri	Ang Thong	0
2012	Songkhla	Ang Thong	2.90869350693508e-05
2012	Sukhothai	Ang Thong	3.39460858532352e-05
2012	Suphan Buri	Ang Thong	0.0017704204052
2012	Surat Thani	Ang Thong	4.55214502310407e-05
2012	Surin	Ang Thong	0.000115728474882788
2012	Tak	Ang Thong	0.000202824629988274
2012	Trang	Ang Thong	6.52878483814594e-06
2012	Trat	Ang Thong	3.44219927747623e-05
2012	Ubon Ratchathani	Ang Thong	7.06838105332039e-05
2012	Udon Thani	Ang Thong	0.000102380368116049
2012	Uthai Thani	Ang Thong	0.000589320799695113
2012	Uttaradit	Ang Thong	9.12463980827308e-05
2012	Yala	Ang Thong	5.12735700287841e-06
2012	Yasothon	Ang Thong	2.13493760929972e-05
2012	Amnat Charoen	Bangkok	7.51574614069861e-05
2012	Ang Thong	Bangkok	0.000236616999562033
2012	Bangkok	Bangkok	0.0126761031659856
2012	Bueng Kan	Bangkok	0
2012	Buri Ram	Bangkok	0.000994844309384848
2012	Chachoengsao	Bangkok	0.001390396678715
2012	Chai Nat	Bangkok	0
2012	Chaiyaphum	Bangkok	0
2012	Chanthaburi	Bangkok	0.00091243861153136
2012	Chiang Mai	Bangkok	0.00107764117799575
2012	Chiang Rai	Bangkok	0.000391713625338906
2012	Chon Buri	Bangkok	0.00267054815614424
2012	Chumphon	Bangkok	0.00048808045649498
2012	Kalasin	Bangkok	0.000361498421437806
2012	Kamphaeng Phet	Bangkok	1.40144883722891e-05
2012	Kanchanaburi	Bangkok	0.00419283953142738
2012	Khon Kaen	Bangkok	0.000308385731794884
2012	Krabi	Bangkok	0.00036891502119532
2012	Lampang	Bangkok	0.000227068794087182
2012	Lamphun	Bangkok	0.000101877124201555
2012	Loei	Bangkok	0.000205696672918059
2012	Lop Buri	Bangkok	0.00071514839078537
2012	Mae Hong Son	Bangkok	9.83168531478265e-05
2012	Maha Sarakham	Bangkok	0.00026766910540336
2012	Mukdahan	Bangkok	0.000220742253570956
2012	Nakhon Nayok	Bangkok	0.00060306577444591
2012	Nakhon Pathom	Bangkok	0.00194970902789688
2012	Nakhon Phanom	Bangkok	0.00023030394420736
2012	Nakhon Ratchasima	Bangkok	0.00291672661386383
2012	Nakhon Sawan	Bangkok	0.000623970150407278
2012	Nakhon Si Thammarat	Bangkok	0.000177981703837119
2012	Nan	Bangkok	0
2012	Narathiwat	Bangkok	9.4886253121428e-05
2012	Nong Bua Lam Phu	Bangkok	0.000236493002576332
2012	Nong Khai	Bangkok	0
2012	Nonthaburi	Bangkok	0.00183277557719821
2012	Pathum Thani	Bangkok	0.00521317317594481
2012	Pattani	Bangkok	6.61760895251576e-05
2012	Phangnga	Bangkok	8.41231768705232e-05
2012	Phatthalung	Bangkok	1.0374485842166e-05
2012	Phayao	Bangkok	9.50008551191278e-05
2012	Phetchabun	Bangkok	0.000750329033774237
2012	Phetchaburi	Bangkok	0.00213187263630357
2012	Phichit	Bangkok	0.000106309243049112
2012	Phitsanulok	Bangkok	0.000249803247761255
2012	Phra Nakhon Si Ayutthaya	Bangkok	0.000345277745231237
2012	Phrae	Bangkok	0.00011703204077911
2012	Phuket	Bangkok	0.000201742475065832
2012	Prachin Buri	Bangkok	0
2012	Prachuap Khiri Khan	Bangkok	0.00188838388899514
2012	Ranong	Bangkok	7.61516843255995e-05
2012	Ratchaburi	Bangkok	0.00241815542226616
2012	Rayong	Bangkok	0.000787543182286745
2012	Roi Et	Bangkok	0.000646010148591019
2012	Sa Kaeo	Bangkok	0.00117085232526323
2012	Sakon Nakhon	Bangkok	0.000504978008777364
2012	Samut Prakan	Bangkok	0.00323836470272113
2012	Samut Sakhon	Bangkok	0.00239876201723551
2012	Samut Songkhram	Bangkok	0.000239910425038512
2012	Saraburi	Bangkok	0.000672544692789506
2012	Satun	Bangkok	2.04488848084619e-05
2012	Si Sa Ket	Bangkok	0.000943260647421622
2012	Sing Buri	Bangkok	0
2012	Songkhla	Bangkok	0.000573775190391533
2012	Sukhothai	Bangkok	4.8869642100313e-05
2012	Suphan Buri	Bangkok	0.000192094417021235
2012	Surat Thani	Bangkok	0.000605547019944264
2012	Surin	Bangkok	0.000883803104382137
2012	Tak	Bangkok	0.000335730366435566
2012	Trang	Bangkok	0.000123427423021506
2012	Trat	Bangkok	0.000286198999144
2012	Ubon Ratchathani	Bangkok	0.000805133713417942
2012	Udon Thani	Bangkok	0.000696362213351908
2012	Uthai Thani	Bangkok	0.000512847500365692
2012	Uttaradit	Bangkok	0.000110753498293597
2012	Yala	Bangkok	0.000162323152193026
2012	Yasothon	Bangkok	0.000208965345154353
2012	Amnat Charoen	Bueng Kan	0
2012	Ang Thong	Bueng Kan	0
2012	Bangkok	Bueng Kan	0
2012	Bueng Kan	Bueng Kan	0
2012	Buri Ram	Bueng Kan	0
2012	Chachoengsao	Bueng Kan	0
2012	Chai Nat	Bueng Kan	0
2012	Chaiyaphum	Bueng Kan	0
2012	Chanthaburi	Bueng Kan	0
2012	Chiang Mai	Bueng Kan	0
2012	Chiang Rai	Bueng Kan	0
2012	Chon Buri	Bueng Kan	0
2012	Chumphon	Bueng Kan	0
2012	Kalasin	Bueng Kan	0
2012	Kamphaeng Phet	Bueng Kan	0
2012	Kanchanaburi	Bueng Kan	0
2012	Khon Kaen	Bueng Kan	0
2012	Krabi	Bueng Kan	0
2012	Lampang	Bueng Kan	0
2012	Lamphun	Bueng Kan	0
2012	Loei	Bueng Kan	0
2012	Lop Buri	Bueng Kan	0
2012	Mae Hong Son	Bueng Kan	0
2012	Maha Sarakham	Bueng Kan	0
2012	Mukdahan	Bueng Kan	0
2012	Nakhon Nayok	Bueng Kan	0
2012	Nakhon Pathom	Bueng Kan	0
2012	Nakhon Phanom	Bueng Kan	0
2012	Nakhon Ratchasima	Bueng Kan	0
2012	Nakhon Sawan	Bueng Kan	0
2012	Nakhon Si Thammarat	Bueng Kan	0
2012	Nan	Bueng Kan	0
2012	Narathiwat	Bueng Kan	0
2012	Nong Bua Lam Phu	Bueng Kan	0
2012	Nong Khai	Bueng Kan	0
2012	Nonthaburi	Bueng Kan	0
2012	Pathum Thani	Bueng Kan	0
2012	Pattani	Bueng Kan	0
2012	Phangnga	Bueng Kan	0
2012	Phatthalung	Bueng Kan	0
2012	Phayao	Bueng Kan	0
2012	Phetchabun	Bueng Kan	0
2012	Phetchaburi	Bueng Kan	0
2012	Phichit	Bueng Kan	0
2012	Phitsanulok	Bueng Kan	0
2012	Phra Nakhon Si Ayutthaya	Bueng Kan	0
2012	Phrae	Bueng Kan	0
2012	Phuket	Bueng Kan	0
2012	Prachin Buri	Bueng Kan	0
2012	Prachuap Khiri Khan	Bueng Kan	0
2012	Ranong	Bueng Kan	0
2012	Ratchaburi	Bueng Kan	0
2012	Rayong	Bueng Kan	0
2012	Roi Et	Bueng Kan	0
2012	Sa Kaeo	Bueng Kan	0
2012	Sakon Nakhon	Bueng Kan	0
2012	Samut Prakan	Bueng Kan	0
2012	Samut Sakhon	Bueng Kan	0
2012	Samut Songkhram	Bueng Kan	0
2012	Saraburi	Bueng Kan	0
2012	Satun	Bueng Kan	0
2012	Si Sa Ket	Bueng Kan	0
2012	Sing Buri	Bueng Kan	0
2012	Songkhla	Bueng Kan	0
2012	Sukhothai	Bueng Kan	0
2012	Suphan Buri	Bueng Kan	0
2012	Surat Thani	Bueng Kan	0
2012	Surin	Bueng Kan	0
2012	Tak	Bueng Kan	0
2012	Trang	Bueng Kan	0
2012	Trat	Bueng Kan	0
2012	Ubon Ratchathani	Bueng Kan	0
2012	Udon Thani	Bueng Kan	0
2012	Uthai Thani	Bueng Kan	0
2012	Uttaradit	Bueng Kan	0
2012	Yala	Bueng Kan	0
2012	Yasothon	Bueng Kan	0
2012	Amnat Charoen	Buri Ram	0.000347881192229715
2012	Ang Thong	Buri Ram	4.14089221231381e-05
2012	Bangkok	Buri Ram	0.000130155424332928
2012	Bueng Kan	Buri Ram	0
2012	Buri Ram	Buri Ram	4.05486921167182
2012	Chachoengsao	Buri Ram	0.00049250347317915
2012	Chai Nat	Buri Ram	0
2012	Chaiyaphum	Buri Ram	0
2012	Chanthaburi	Buri Ram	0.00110327908017804
2012	Chiang Mai	Buri Ram	0.000131977906450416
2012	Chiang Rai	Buri Ram	6.39137862024564e-05
2012	Chon Buri	Buri Ram	0.00141619361915349
2012	Chumphon	Buri Ram	0.000128619328923582
2012	Kalasin	Buri Ram	0.00128726229674073
2012	Kamphaeng Phet	Buri Ram	3.8732305739279e-06
2012	Kanchanaburi	Buri Ram	0.000643564384453886
2012	Khon Kaen	Buri Ram	0.00170252404878558
2012	Krabi	Buri Ram	4.07335679068011e-05
2012	Lampang	Buri Ram	7.17642000763351e-05
2012	Lamphun	Buri Ram	3.93458426741616e-05
2012	Loei	Buri Ram	0.000262724269634611
2012	Lop Buri	Buri Ram	0.000428212176042157
2012	Mae Hong Son	Buri Ram	7.16986044500768e-06
2012	Maha Sarakham	Buri Ram	0.00471344398148506
2012	Mukdahan	Buri Ram	0.000760182832839605
2012	Nakhon Nayok	Buri Ram	0.000141517367289147
2012	Nakhon Pathom	Buri Ram	0.000175849665539201
2012	Nakhon Phanom	Buri Ram	0.000451678970171681
2012	Nakhon Ratchasima	Buri Ram	0.0359190025241977
2012	Nakhon Sawan	Buri Ram	0.000155964275784772
2012	Nakhon Si Thammarat	Buri Ram	1.59819006023758e-05
2012	Nan	Buri Ram	0
2012	Narathiwat	Buri Ram	6.67553518437423e-06
2012	Nong Bua Lam Phu	Buri Ram	0.000448844736988906
2012	Nong Khai	Buri Ram	0
2012	Nonthaburi	Buri Ram	0.000105518551164657
2012	Pathum Thani	Buri Ram	0.000694347210393869
2012	Pattani	Buri Ram	1.11565398394541e-05
2012	Phangnga	Buri Ram	1.5282835739863e-05
2012	Phatthalung	Buri Ram	1.08189455925988e-06
2012	Phayao	Buri Ram	2.31801995621865e-05
2012	Phetchabun	Buri Ram	0.000381585030388352
2012	Phetchaburi	Buri Ram	0.000279223206392132
2012	Phichit	Buri Ram	3.49851435442509e-05
2012	Phitsanulok	Buri Ram	9.69769195603328e-05
2012	Phra Nakhon Si Ayutthaya	Buri Ram	0.000163288424292555
2012	Phrae	Buri Ram	3.6517155590319e-05
2012	Phuket	Buri Ram	2.00283588231188e-05
2012	Prachin Buri	Buri Ram	0
2012	Prachuap Khiri Khan	Buri Ram	0.000322370353414192
2012	Ranong	Buri Ram	8.38798279187908e-06
2012	Ratchaburi	Buri Ram	0.000305590947572716
2012	Rayong	Buri Ram	0.000669392771454155
2012	Roi Et	Buri Ram	0.0040945992577454
2012	Sa Kaeo	Buri Ram	0.00344773100292848
2012	Sakon Nakhon	Buri Ram	0.000932282397384608
2012	Samut Prakan	Buri Ram	0.000316731897069208
2012	Samut Sakhon	Buri Ram	0.000226581521668169
2012	Samut Songkhram	Buri Ram	2.42398564883499e-05
2012	Saraburi	Buri Ram	0.000965996519978409
2012	Satun	Buri Ram	3.39423304920991e-06
2012	Si Sa Ket	Buri Ram	0.007872677022086
2012	Sing Buri	Buri Ram	0
2012	Songkhla	Buri Ram	6.19835576335636e-05
2012	Sukhothai	Buri Ram	1.23593156495091e-05
2012	Suphan Buri	Buri Ram	3.44925939409685e-05
2012	Surat Thani	Buri Ram	8.36085643246852e-05
2012	Surin	Buri Ram	0.053073305088652
2012	Tak	Buri Ram	4.16911178280873e-05
2012	Trang	Buri Ram	7.32848152399677e-06
2012	Trat	Buri Ram	0.000218978183885878
2012	Ubon Ratchathani	Buri Ram	0.0045350981612936
2012	Udon Thani	Buri Ram	0.00113881434209618
2012	Uthai Thani	Buri Ram	9.29690119344252e-05
2012	Uttaradit	Buri Ram	3.53606492088297e-05
2012	Yala	Buri Ram	1.92680643158682e-05
2012	Yasothon	Buri Ram	0.001150793582722
2012	Amnat Charoen	Chachoengsao	0.000122902277609604
2012	Ang Thong	Chachoengsao	0.000353633496994725
2012	Bangkok	Chachoengsao	0.00127525308539138
